chr,chromStart,chromEnd,name,score,pValue,peak,annotStart,annotEnd,gene,product
U00096.3,142,380,NA_peak_1,101,12.5422,111,190,255,gene=thrL,product=thr operon leader peptide
U00096.3,142,380,NA_peak_1,101,12.5422,111,337,2799,gene=thrA,product=fused aspartate kinase/homoserine dehydrogenase 1
U00096.3,1876,2126,NA_peak_2,65,8.65797,48,337,2799,gene=thrA,product=fused aspartate kinase/homoserine dehydrogenase 1
U00096.3,6549,6732,NA_peak_3,56,7.76811,45,6529,7959,gene=yaaJ,product=putative transporter YaaJ
U00096.3,31867,32026,NA_peak_4,43,6.26589,118,30817,34038,gene=carB,product=carbamoyl-phosphate synthetase large subunit
U00096.3,83456,83779,NA_peak_5,140,16.6487,178,81958,83529,gene=leuA,product=2-isopropylmalate synthase
U00096.3,83456,83779,NA_peak_5,140,16.6487,178,83622,83708,gene=leuL,product=leu operon leader peptide
U00096.3,102414,102593,NA_peak_6,22,3.94686,80,102233,103153,gene=ddlB,product=D-alanine--D-alanine ligase B
U00096.3,106599,106747,NA_peak_7,14,3.02609,72,106557,107474,gene=lpxC,product=UDP-3-O-acyl-N-acetylglucosamine deacetylase
U00096.3,122018,122207,NA_peak_8,80,10.2868,80,122092,122856,gene=pdhR,product=DNA-binding transcriptional dual regulator PdhR
U00096.3,158466,158664,NA_peak_9,38,5.7544,71,157729,159126,gene=pcnB,product=poly(A) polymerase I
U00096.3,178103,178250,NA_peak_10,25,4.37959,83,177662,178462,gene=btuF,product=vitamin B12 ABC transporter periplasmic binding protein
U00096.3,223766,224411,NA_peak_11,63,8.50611,504,222833,223408,gene=gmhB,product=D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase
U00096.3,224465,227352,NA_peak_12,72,9.40133,616,222833,223408,gene=gmhB,product=D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase
U00096.3,227432,229048,NA_peak_13,242,27.053,738,229167,229970,gene=dkgB,product=methylglyoxal reductase DkgB
U00096.3,236798,236988,NA_peak_14,71,9.36051,132,236067,236798,gene=dnaQ,product=DNA polymerase III subunit epsilon
U00096.3,262688,262966,NA_peak_15,71,9.28668,209,261503,262756,gene=proA,product=glutamate-5-semialdehyde dehydrogenase
U00096.3,305159,305543,NA_peak_16,488,51.8585,181,304495,305205,gene=ecpE,product=putative fimbrial chaperone EcpE
U00096.3,305159,305543,NA_peak_16,488,51.8585,181,305174,306817,gene=ecpD,product=fimbrial adhesin EcpD
U00096.3,313084,313635,NA_peak_17,3867,390.489,222,313141,313242,gene=ykgR,product=putative membrane protein YkgR
U00096.3,320432,320696,NA_peak_18,121,14.6837,156,320227,321081,gene=rclR,product=DNA-binding transcriptional activator RclR
U00096.3,366235,366581,NA_peak_19,603,63.3774,193,363231,366305,gene=lacZ,product=beta-galactosidase
U00096.3,366235,366581,NA_peak_19,603,63.3774,193,366428,367510,gene=lacI,product=DNA-binding transcriptional repressor LacI
U00096.3,402075,402392,NA_peak_20,116,14.1602,98,401747,403162,gene=phoA,product=alkaline phosphatase
U00096.3,464184,464472,NA_peak_21,371,40.0834,162,463937,464308,gene=ybaV,product=helix-hairpin-helix 3 family protein
U00096.3,464184,464472,NA_peak_21,371,40.0834,162,464402,464800,gene=fadM,product=long-chain acyl-CoA thioesterase FadM
U00096.3,657270,657509,NA_peak_22,270,29.9163,118,657292,657501,gene=cspE,product=transcription antiterminator and regulator of RNA stability CspE
U00096.3,696630,697086,NA_peak_23,110,13.5007,272,695101,696276,gene=ubiF,product=3-demethoxyubiquinol 3-hydroxylase
U00096.3,780696,780906,NA_peak_24,68,9.04962,113,779598,780389,gene=cpoB,product=cell division coordinator CpoB
U00096.3,781044,781249,NA_peak_25,69,9.15664,86,779598,780389,gene=cpoB,product=cell division coordinator CpoB
U00096.3,951971,952234,NA_peak_26,40,5.93355,122,951272,953554,gene=pflB,product=pyruvate formate-lyase
U00096.3,952626,952810,NA_peak_27,63,8.43205,103,951272,953554,gene=pflB,product=pyruvate formate-lyase
U00096.3,1019101,1019266,NA_peak_28,33,5.17056,157,1019013,1020053,gene=ompA,product=outer membrane protein A
U00096.3,1050092,1050317,NA_peak_29,39,5.91463,205,1049833,1050108,gene=insA4,product=IS1 family protein InsA
U00096.3,1050092,1050317,NA_peak_29,39,5.91463,205,1050027,1050530,gene=insB4,product=IS1 family protein InsB
U00096.3,1342493,1342651,NA_peak_30,59,8.04479,92,1341921,1342658,gene=pyrF,product=orotidine-5'-phosphate decarboxylase
U00096.3,1610418,1611116,NA_peak_31,6936,698.239,304,1609229,1610680,gene=uxaB,product=tagaturonate reductase
U00096.3,1610418,1611116,NA_peak_31,6936,698.239,304,1610907,1611854,gene=dgcF,product=putative diguanylate cyclase DgcF
